id,scen,rho,prop,eta,rq,tfailtest,Ra,Rs
1,"IAS",0.65,1,0.25,0.25,2,2.5,2.5
2,"IAS",0.65,1,0.5,0.25,2,2.5,2.5
3,"IAS",0.65,1,0.75,0.25,2,2.5,2.5
4,"IBS",0.65,1,0.25,0.25,2,2.5,2.5
5,"IBS",0.65,1,0.5,0.25,2,2.5,2.5
6,"IBS",0.65,1,0.75,0.25,2,2.5,2.5
7,"IBTBS",0.65,1,0.25,0.25,2,2.5,2.5
8,"IBTBS",0.65,1,0.5,0.25,2,2.5,2.5
9,"IBTBS",0.65,1,0.75,0.25,2,2.5,2.5
10,"IAS",0.65,1,0.25,0.25,2,1.375,2.5
11,"IAS",0.65,1,0.5,0.25,2,1.375,2.5
12,"IAS",0.65,1,0.75,0.25,2,1.375,2.5
13,"IBS",0.65,1,0.25,0.25,2,1.375,2.5
14,"IBS",0.65,1,0.5,0.25,2,1.375,2.5
15,"IBS",0.65,1,0.75,0.25,2,1.375,2.5
16,"IBTBS",0.65,1,0.25,0.25,2,1.375,2.5
17,"IBTBS",0.65,1,0.5,0.25,2,1.375,2.5
18,"IBTBS",0.65,1,0.75,0.25,2,1.375,2.5